Activity ID,Activity Name,Actual This Period Cost,Actual Total Cost
2,Verbale di consegna,0.0,0.0
3,Chiusura carreggiata DIR. PA-CT -Apertura al traffico carreggiata DIR. CT-PA con una corsia per senso di marcia,0.0,0.0
4,Inzio attività,0.0,0.0
5,Autorizzazione al Subappalto per Scarificatura,0.0,0.0
6,Montaggio Ferri Pulvino e Baggiolo Pila 56,0.0,0.0
7,Allestimento Campo base e aree tecniche,0.0,0.0
8,Segnaletica e delimitazioni di sicurezza,0.0,0.0
9,"Realizzazione piste di cantiere, viabilità e risoluzioni interferenze",0.0,0.0
10,Guadi A - a servizio pista pile 5 e 6,0.0,0.0
11,Bocciardatura Pulvino 57,0.0,0.0
12,Passivazione Ferri Pila 57,0.0,0.0
13,Inghisaggi Feri Baggioli Pila 57,0.0,0.0
14,"Realizzazione di n.9 pali  fondazione Pila 58 bis (perforazione,posa armatura e getto)",0.0,0.0
15,Scapitozzatura n.9 pali,0.0,0.0
16,Smontaggio Ponteggi Pila 57,0.0,0.0
17,Realizzazione della fondazione Pila 58 bis,0.0,0.0
18,Realizzazione elevazione Pila 58 bis,0.0,0.0
19,Realizzazione pulvino e baggioli 58 bis,0.0,0.0
20,Passivazione Ferri Pila 58,0.0,0.0
21,Posa travi impalcato e appoggi  58 bis - 59 bis,0.0,0.0
22,Realizzazione della soletta impalcato 58 bis - 59bis,0.0,0.0
23,Strati di Malta Pulvini e Baggioli Pila 58,0.0,0.0
24,Realizzazione della piattaforma stradale 58-59,0.0,0.0
26,Demolizione travi-soletta- cordolo 59-60,0.0,0.0
27,Bocciardatura Pulvino 59,0.0,0.0
28,Ricostruzione baggioli 59-60,0.0,0.0
29,Posa n.3  travi  in acciaio e appoggi 59-60,0.0,0.0
30,Realizzazione soletta impalcato 59-60,0.0,0.0
31,Posa della pavimentazione 59-60,0.0,0.0
32,Posa giunto su impalcato DIR CT 59-60,0.0,0.0
34,Fine progetto da Contratto,0.0,0.0
35,Bocciardatura Pulvino 60,0.0,0.0
36,Rimozione della barriere stradali 76 - 56,0.0,0.0
37,Scarificazione della pavimentazione stradale esistente da Campata 76 a 56,0.0,0.0
38,Rimozione giunti da Campata 76 a 56,0.0,0.0
39,Strati di Malta Pulvini e Baggioli Pila 60,0.0,0.0
40,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 76,0.0,0.0
41,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 75,0.0,0.0
42,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 74,0.0,0.0
43,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 73,0.0,0.0
44,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 72,0.0,0.0
45,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 71,0.0,0.0
46,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 70,0.0,0.0
47,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 69,0.0,0.0
48,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 68,0.0,0.0
49,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 67,0.0,0.0
50,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 66,0.0,0.0
51,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 65,0.0,0.0
52,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 64,0.0,0.0
53,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 63,0.0,0.0
54,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 62,0.0,0.0
55,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 61,0.0,0.0
56,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 60,0.0,0.0
57,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 59,0.0,0.0
58,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 58,0.0,0.0
59,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 57,0.0,0.0
60,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 56,0.0,0.0
61,Deferrizzazione,0.0,0.0
62,Riduzione di volume,0.0,0.0
63,Conferimento a discarica,0.0,0.0
64,Smontaggio Ponteggi Pila 63,0.0,0.0
65,Rimozione della barriere stradali 55 - 31,0.0,0.0
66,Scarificazione della pavimentazione stradale esistente dalla Campata 55 alla 31,0.0,0.0
67,Rimozione giunti dalla Campata 55 alla 31,0.0,0.0
68,Passivazione Ferri Pila 64,0.0,0.0
69,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 55,0.0,0.0
70,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 54,0.0,0.0
71,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 53,0.0,0.0
72,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 52,0.0,0.0
73,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 51,0.0,0.0
74,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 50,0.0,0.0
75,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 49,0.0,0.0
76,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 48,0.0,0.0
77,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 47,0.0,0.0
78,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 46,0.0,0.0
79,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 45,0.0,0.0
80,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 44,0.0,0.0
81,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 43,0.0,0.0
82,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 42,0.0,0.0
83,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 41,0.0,0.0
84,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 40,0.0,0.0
85,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 39,0.0,0.0
86,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 38,0.0,0.0
87,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 37,0.0,0.0
88,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 36,0.0,0.0
89,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 35,0.0,0.0
90,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 34,0.0,0.0
91,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 33,0.0,0.0
92,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 32,0.0,0.0
93,Demolizione impalcato esistente e rimozione apparecchi di appoggio Campata 31,0.0,0.0
94,Deferrizzazione,0.0,0.0
95,Riduzione di volume,0.0,0.0
96,Conferimento a discarica,0.0,0.0
98,Montaggio Ponteggi Pila 68,0.0,0.0
99,Bocciardatura Pulvino 68,0.0,0.0
125,Inghisaggi Feri Baggioli Pila 71,0.0,0.0
126,Posa travi impalcato Campata 76,0.0,0.0
127,Posa travi impalcato Campata 75,0.0,0.0
128,Posa travi impalcato Campata 74,0.0,0.0
129,Posa travi impalcato Campata 73,0.0,0.0
130,Posa travi impalcato Campata 72,0.0,0.0
131,Posa travi impalcato Campata 71,0.0,0.0
132,Posa travi impalcato Campata 70,0.0,0.0
133,Posa travi impalcato Campata 69,0.0,0.0
134,Posa travi impalcato Campata 68,0.0,0.0
135,Posa travi impalcato Campata 67,0.0,0.0
136,Posa travi impalcato Campata 66,0.0,0.0
137,Posa travi impalcato Campata 65,0.0,0.0
138,Posa travi impalcato Campata 64,0.0,0.0
139,Posa travi impalcato Campata 63,0.0,0.0
140,Posa travi impalcato Campata 62,0.0,0.0
141,Posa travi impalcato Campata 61,0.0,0.0
142,Posa travi impalcato Campata 60,0.0,0.0
143,Posa travi impalcato Campata 59,0.0,0.0
144,Posa travi impalcato Campata 58,0.0,0.0
145,Posa travi impalcato Campata 57,0.0,0.0
146,Posa travi impalcato Campata 56,0.0,0.0
147,Bocciardatura Pulvino 74,0.0,0.0
148,Realizzazione della soletta in cemento armato Campata 76,0.0,0.0
149,Realizzazione della soletta in cemento armato Campata 75,0.0,0.0
150,Realizzazione della soletta in cemento armato Campata 74,0.0,0.0
151,Realizzazione della soletta in cemento armato Campata 73,0.0,0.0
152,Realizzazione della soletta in cemento armato Campata 72,0.0,0.0
153,Realizzazione della soletta in cemento armato Campata 71,0.0,0.0
154,Realizzazione della soletta in cemento armato Campata 70,0.0,0.0
155,Realizzazione della soletta in cemento armato Campata 69,0.0,0.0
156,Realizzazione della soletta in cemento armato Campata 68,0.0,0.0
157,Realizzazione della soletta in cemento armato Campata 67,0.0,0.0
158,Realizzazione della soletta in cemento armato Campata 66,0.0,0.0
159,Realizzazione della soletta in cemento armato Campata 65,0.0,0.0
160,Realizzazione della soletta in cemento armato Campata 64,0.0,0.0
161,Realizzazione della soletta in cemento armato Campata 63,0.0,0.0
162,Realizzazione della soletta in cemento armato Campata 62,0.0,0.0
163,Realizzazione della soletta in cemento armato Campata 61,0.0,0.0
164,Realizzazione della soletta in cemento armato Campata 60,0.0,0.0
165,Realizzazione della soletta in cemento armato Campata 59,0.0,0.0
166,Realizzazione della soletta in cemento armato Campata 58,0.0,0.0
167,Realizzazione della soletta in cemento armato Campata 57,0.0,0.0
168,Realizzazione della soletta in cemento armato Campata 56,0.0,0.0
169,Realizzazione dell'impermeabilizzazione degli impalcati  55 - 31,0.0,0.0
170,Realizzazione sistema di smaltimento acque di piattaforma  55 - 31,0.0,0.0
171,Realizzazione della pavimentazione stradale  55 - 31,0.0,0.0
172,Realizzazione dei giunti di dilatazione  55 - 31,0.0,0.0
173,Posa delle barriere di sicurezza e segnaletica  55 - 31,74041.538065,950872.965163
174,Montaggio Ferri Pulvino e Baggiolo Pila 52,0.0,0.0
175,Strati di Malta Pulvini e Baggioli Pila 52,0.0,0.0
207,Posa travi impalcato Campata 55,0.0,0.0
208,Posa travi impalcato Campata 54,0.0,0.0
209,Posa travi impalcato Campata 53,0.0,0.0
210,Posa travi impalcato Campata 52,0.0,0.0
211,Posa travi impalcato Campata 51,0.0,0.0
212,Posa travi impalcato Campata 50,0.0,0.0
213,Posa travi impalcato Campata 49,0.0,0.0
214,Posa travi impalcato Campata 48,0.0,0.0
215,Posa travi impalcato Campata 47,0.0,0.0
216,Posa travi impalcato Campata 46,0.0,0.0
217,Posa travi impalcato Campata 45,0.0,0.0
218,Posa travi impalcato Campata 44,0.0,0.0
219,Posa travi impalcato Campata 43,0.0,0.0
220,Posa travi impalcato Campata 42,0.0,0.0
221,Posa travi impalcato Campata 41,0.0,0.0
222,Posa travi impalcato Campata 40,0.0,0.0
223,Posa travi impalcato Campata 39,0.0,0.0
224,Posa travi impalcato Campata 38,0.0,0.0
225,Posa travi impalcato Campata 37,0.0,0.0
226,Posa travi impalcato Campata 36,0.0,0.0
227,Posa travi impalcato Campata 35,0.0,0.0
228,Posa travi impalcato Campata 34,0.0,0.0
229,Posa travi impalcato Campata 33,0.0,0.0
230,Posa travi impalcato Campata 32,0.0,0.0
231,Posa travi impalcato Campata 31,0.0,0.0
233,Realizzazione della soletta in cemento armato Campata 55,0.0,0.0
234,Realizzazione della soletta in cemento armato Campata 54,0.0,0.0
235,Realizzazione della soletta in cemento armato Campata 53,0.0,0.0
236,Realizzazione della soletta in cemento armato Campata 52,0.0,0.0
237,Realizzazione della soletta in cemento armato Campata 51,0.0,0.0
238,Realizzazione della soletta in cemento armato Campata 50,0.0,0.0
239,Realizzazione della soletta in cemento armato Campata 49,0.0,0.0
240,Realizzazione della soletta in cemento armato Campata 48,0.0,0.0
241,Realizzazione della soletta in cemento armato Campata 47,0.0,0.0
242,Realizzazione della soletta in cemento armato Campata 46,0.0,0.0
243,Realizzazione della soletta in cemento armato Campata 45,0.0,0.0
244,Realizzazione della soletta in cemento armato Campata 44,0.0,0.0
245,Realizzazione della soletta in cemento armato Campata 43,0.0,0.0
246,Realizzazione della soletta in cemento armato Campata 42,0.0,0.0
247,Realizzazione della soletta in cemento armato Campata 41,0.0,0.0
248,Realizzazione della soletta in cemento armato Campata 40,0.0,0.0
249,Realizzazione della soletta in cemento armato Campata 39,0.0,0.0
250,Realizzazione della soletta in cemento armato Campata 38,0.0,0.0
251,Realizzazione della soletta in cemento armato Campata 37,0.0,0.0
252,Realizzazione della soletta in cemento armato Campata 36,0.0,0.0
253,Realizzazione della soletta in cemento armato Campata 35,0.0,0.0
254,Realizzazione della soletta in cemento armato Campata 34,0.0,0.0
255,Realizzazione della soletta in cemento armato Campata 33,0.0,0.0
256,Realizzazione della soletta in cemento armato Campata 32,0.0,0.0
257,Realizzazione della soletta in cemento armato Campata 31,0.0,0.0
258,Realizzazione dell'impermeabilizzazione degli impalcati  56 - 76,0.0,0.0
259,Realizzazione sistema di smaltimento acque di piattaforma  56 - 76,0.0,0.0
260,Realizzazione della pavimentazione stradale  56 - 76,0.0,0.0
261,Realizzazione dei giunti di dilatazione 76 - 56,0.0,0.0
262,Posa delle barriere di sicurezza e segnaletica  56 - 76,69413.941935,891443.404837
264,Posa giunto su impalcato DIR PA,0.0,0.0
266,Dismisisione aree di cantiere,0.0,0.0
267,Realizzazione opere a verde e ripristino dei luoghi ante operam,0.0,0.0
268,ULTIMAZIONE LAVORI,0.0,0.0
278,Guadi B - a servizio pista pile 9 e 10,0.0,0.0
288,Guadi C - a servizio pista pile 26 e 27,0.0,0.0
298,Guadi D - a servizio pista pile 53 e 54,0.0,0.0
308,Guado E - tra pile 70 e 71,0.0,0.0
318,Viabilità di cantiere,0.0,0.0
328,Montaggio Ponteggi Pila 56,0.0,0.0
338,Bocciardatura Pulvino 56,0.0,0.0
348,Passivazione Ferri Pila 56,0.0,0.0
358,Inghisaggi Feri Baggioli Pila 56,0.0,0.0
368,Strati di Malta Pulvini e Baggioli Pila 56,0.0,0.0
378,Smontaggio Ponteggi Pila 56,0.0,0.0
388,Montaggio Ponteggi Pila 57,0.0,0.0
398,Montaggio Ferri Pulvino e Baggiolo Pila 57,0.0,0.0
408,Strati di Malta Pulvini e Baggioli Pila 57,0.0,0.0
418,Montaggio Ponteggi Pila 58,0.0,0.0
428,Bocciardatura Pulvino 58,0.0,0.0
438,Inghisaggi Feri Baggioli Pila 58,0.0,0.0
448,Montaggio Ferri Pulvino e Baggiolo Pila 58,0.0,0.0
